ID,MW_Host,TPSA_Host,LogP_Host,HBD_Host,HBA_Host,RotBonds_Host,Lattice_Density_Score,Target_Class
44,516.45,110.6,2.94,1,1,4,0.42,0
45,275.75,104.18,4.37,2,1,6,0.65,1
46,425.13,72.98,2.89,3,1,8,0.76,1
47,295.33,43.63,0.78,2,1,8,0.46,0
48,372.43,110.59,-0.37,2,2,5,0.86,1
49,382.28,92.44,4.29,1,4,6,0.67,1
50,248.4,122.68,-0.38,4,5,4,0.41,1
51,538.75,92.42,4.31,4,1,11,0.7,1
52,466.8,132.26,2.41,1,2,9,0.98,1
53,527.61,96.23,4.66,4,2,8,0.4,0
54,511.09,97.31,3.89,2,2,10,0.86,1
55,401.22,135.2,4.99,3,4,10,0.44,0
56,521.09,78.42,1.43,1,5,1,0.83,1
57,212.74,46.08,3.72,3,4,2,0.8,1
58,252.51,33.45,1.71,4,3,9,0.5,0
59,196.73,120.62,2.14,3,7,8,0.52,1
60,300.37,104.44,2.95,4,2,3,0.84,1
61,323.81,114.49,4.31,4,3,8,0.61,1
62,280.4,55.56,4.91,2,6,1,0.8,1
63,486.63,46.36,3.73,4,1,10,0.4,0
64,312.0,31.75,1.8,2,7,4,0.88,1
65,283.95,72.07,1.82,2,1,3,0.78,1
66,380.8,100.79,3.56,2,4,6,0.92,1
67,232.14,77.07,0.81,1,7,7,0.39,0
68,476.81,82.5,0.11,1,5,4,0.7,1
69,207.58,138.5,1.45,4,3,7,0.71,1
70,545.15,71.79,1.08,2,5,9,0.54,1
71,465.73,91.68,1.13,1,4,11,0.61,1
72,253.52,124.04,0.78,2,1,2,0.33,1
73,182.04,77.59,-0.27,3,7,11,0.81,1
74,481.72,104.65,-0.4,3,5,3,0.67,1
75,441.54,133.48,4.93,3,5,5,0.34,0
76,449.73,143.94,1.85,4,1,3,0.76,1
77,465.37,47.65,1.61,2,7,11,0.62,1
78,207.4,141.19,3.24,3,3,8,0.32,0
79,312.63,89.05,0.7,1,1,10,0.96,1
80,222.87,60.99,4.72,3,5,8,0.95,1
81,499.35,85.1,3.82,3,3,8,0.65,1
82,410.62,147.6,-0.01,3,3,9,0.36,1
83,302.43,89.11,1.8,4,1,4,0.81,1
84,203.52,69.45,4.34,1,5,5,0.63,1
85,295.06,106.01,4.7,2,4,5,0.51,0
86,300.32,58.82,2.07,1,5,8,0.63,1
87,449.95,39.1,2.87,2,2,7,0.66,1
88,415.9,45.47,0.42,4,7,9,0.68,1
89,508.27,45.37,4.95,4,6,8,0.6,0
90,354.72,48.23,0.77,4,4,2,0.71,1
91,224.25,46.66,4.69,4,3,10,0.92,1
92,443.9,106.9,3.07,2,4,4,0.55,1
93,461.49,51.83,2.84,3,7,6,0.79,1
94,387.67,71.48,2.32,2,3,2,0.91,1
95,465.26,137.61,0.77,1,7,7,0.61,1
96,362.7,86.88,0.47,4,3,3,0.6,1
97,373.41,110.11,0.71,4,4,3,0.71,1
98,338.19,50.68,0.53,1,3,11,0.7,1
99,189.41,53.07,3.79,2,3,2,0.85,1
100,219.92,34.9,1.43,3,2,11,0.62,1
101,191.63,50.27,-0.18,3,5,8,0.98,1
102,415.47,63.43,4.83,1,5,6,0.34,0
103,296.31,51.24,4.36,3,6,1,0.3,0
104,368.17,40.64,4.6,2,6,1,0.74,1
105,515.8,44.48,4.97,2,2,7,0.5,0
106,272.24,85.29,0.46,1,6,8,0.46,1
107,331.84,54.76,1.68,2,7,5,0.51,1
108,459.55,73.71,3.67,4,4,11,0.47,0
109,264.66,90.41,3.33,1,1,5,0.32,0
110,208.48,112.85,0.35,2,7,4,0.96,1
111,287.21,34.72,3.99,1,1,6,0.45,0
112,239.65,125.93,0.73,3,1,6,0.8,1
113,523.99,105.35,0.73,2,2,3,0.82,1
114,479.0,39.81,2.45,4,7,9,0.93,1
115,414.36,134.83,2.76,2,2,11,0.32,0
116,502.44,140.5,2.69,1,3,7,0.89,1
117,477.36,37.33,0.0,1,1,1,0.66,1
118,249.03,63.23,4.33,2,4,7,0.73,1
119,510.25,126.74,0.96,4,6,5,0.74,1
120,379.56,119.79,0.21,4,4,5,0.86,1
121,478.75,52.14,4.39,4,6,2,0.53,0
122,511.55,55.12,4.76,1,1,4,0.8,1
123,297.66,74.46,4.24,2,1,6,0.66,1
124,220.72,88.14,3.95,3,1,10,0.84,1
125,264.34,104.19,3.1,1,2,11,0.97,1
126,338.03,74.27,2.53,4,7,7,0.44,0
127,482.67,85.5,-0.02,2,6,11,0.98,1
128,498.47,119.7,1.75,4,7,5,0.36,1
129,182.57,34.4,1.55,3,2,9,0.3,0
130,368.98,60.29,0.93,4,2,3,0.33,0
131,334.44,115.6,3.48,4,5,1,0.53,1
132,262.18,137.42,2.23,3,4,4,0.73,1
133,224.35,91.4,-0.05,2,4,9,0.35,1
134,304.92,93.85,0.71,1,3,4,0.3,0
135,528.88,42.86,3.26,2,2,2,0.94,1
136,299.59,83.69,-0.08,3,6,10,0.86,1
137,371.95,93.91,4.18,4,5,5,0.85,1
138,440.12,59.1,2.22,2,5,3,0.9,1
139,314.54,62.31,2.14,1,7,9,0.78,1
140,539.56,75.27,2.76,3,4,4,0.37,0
141,536.11,32.41,4.04,2,2,6,0.57,0
142,273.16,68.65,1.41,1,3,2,0.79,1
143,363.98,55.37,3.23,3,2,6,0.49,0
144,291.32,69.3,2.61,1,7,3,0.77,1
145,285.39,44.37,0.97,3,1,9,0.32,0
146,193.65,136.86,4.33,4,2,11,0.51,1
147,405.54,101.23,3.89,2,7,2,0.67,1
148,365.99,111.49,3.12,1,1,9,0.73,1
149,199.05,124.7,4.18,3,1,5,0.69,1
150,283.1,89.81,4.27,1,3,8,0.77,1
151,516.06,40.43,3.4,1,6,2,0.3,0
152,268.64,94.45,4.1,2,4,6,0.37,0
153,233.61,100.42,3.34,4,2,3,0.89,1
154,361.1,119.45,3.24,1,1,10,0.76,1
155,544.69,81.8,2.9,3,2,5,0.38,0
156,269.56,45.31,3.64,3,6,8,0.87,1
157,428.69,64.05,0.37,4,4,10,0.46,1
158,461.8,73.57,4.34,3,6,1,0.63,1
159,267.93,107.51,4.3,4,4,5,0.4,0
160,449.44,98.49,-0.34,3,5,3,0.78,1
161,316.08,72.73,4.04,2,4,4,0.75,1
162,413.95,148.38,0.21,1,3,2,0.44,1
163,414.41,102.69,1.34,2,6,9,0.89,1
164,378.24,58.47,3.59,1,1,3,0.57,0
165,213.41,42.21,0.38,1,5,2,0.5,1
166,489.06,48.34,4.0,1,3,10,0.4,0
167,298.69,59.51,4.08,2,2,11,0.48,0
168,249.01,49.28,2.29,1,6,9,0.31,0
169,195.09,52.39,-0.46,2,7,7,0.7,1
170,398.63,64.21,1.08,4,7,6,0.87,1
171,430.7,50.8,2.89,3,1,1,0.67,1
172,186.14,137.61,4.9,3,4,5,0.45,0
173,369.47,39.63,2.97,1,1,11,0.32,0
174,263.8,92.94,0.93,2,7,11,0.45,1
175,418.71,79.25,2.99,3,2,3,0.58,1
176,244.52,147.89,2.47,2,5,1,0.82,1
177,435.65,43.44,3.79,2,5,4,0.43,0
178,323.09,77.74,0.09,1,6,2,0.79,1
179,526.59,146.34,3.69,3,5,2,0.89,1
180,230.88,133.86,2.48,1,6,3,0.61,1
181,306.19,128.05,4.8,1,6,8,0.86,1
182,221.99,60.95,1.38,3,6,8,0.68,1
183,522.14,50.51,2.98,3,7,7,0.73,1
184,504.62,110.24,4.63,4,7,6,0.66,1
185,275.44,141.53,0.06,4,4,9,0.61,1
186,424.19,96.81,4.65,2,3,4,0.46,0
187,482.37,98.59,3.28,3,6,1,0.51,1
188,385.42,63.6,-0.13,4,6,8,0.5,1
189,375.97,122.34,1.16,2,3,7,0.68,1
190,269.49,52.45,3.39,2,1,7,0.38,0
191,214.45,68.84,-0.13,2,6,3,0.92,1
192,511.97,81.05,2.7,4,4,4,0.79,1
193,513.15,90.91,1.4,3,5,10,0.57,1
194,414.25,59.09,2.92,1,5,9,0.41,0
195,305.44,43.78,-0.25,2,2,6,0.9,1
196,309.21,103.27,4.29,4,2,5,0.86,1
197,448.6,64.64,4.85,4,5,3,0.79,1
198,511.93,99.75,4.83,1,5,9,0.48,0
199,508.22,48.52,3.62,1,7,5,0.57,0
200,468.55,87.74,0.22,4,4,5,0.37,1
201,417.55,93.91,3.67,3,3,4,0.43,0
202,211.13,36.22,-0.36,1,2,4,0.83,1
203,239.8,70.39,-0.38,4,7,1,0.79,1
204,512.47,46.13,1.28,1,7,7,0.7,1
205,404.38,37.6,2.19,3,3,9,0.91,1
206,183.4,148.8,3.74,2,7,3,0.7,1
207,217.54,68.68,3.26,1,4,2,0.62,1
208,425.5,127.18,1.95,3,5,3,0.53,1
209,181.87,60.56,1.0,4,6,1,0.94,1
210,239.5,111.78,4.98,1,3,6,0.36,0
211,383.03,121.23,1.84,1,5,11,0.93,1
212,436.0,101.48,1.98,4,5,11,0.86,1
213,421.23,86.59,0.4,2,1,7,0.39,1
214,262.98,79.42,3.87,4,3,11,0.68,1
215,443.51,71.86,3.32,1,7,11,0.89,1
216,267.78,141.54,0.71,4,6,2,0.69,1
217,300.4,129.67,-0.05,3,3,8,0.92,1
218,456.2,145.8,3.24,4,7,6,0.94,1
219,420.36,44.92,3.1,1,5,4,0.59,0
220,494.21,117.7,1.0,4,6,5,0.56,1
221,423.32,142.6,4.73,2,7,8,0.94,1
222,390.27,51.75,0.33,4,4,3,0.76,1
223,214.66,37.98,1.88,2,7,3,0.38,0
224,316.05,118.93,4.69,3,1,11,0.33,0
225,278.12,98.94,1.81,2,5,4,0.68,1
226,270.28,131.02,3.01,4,7,1,0.93,1
227,540.01,46.77,1.69,1,2,9,0.87,1
228,325.45,125.43,1.01,2,2,8,0.76,1
229,510.06,54.2,4.91,3,1,8,0.39,0
230,413.52,49.64,1.75,2,4,10,0.47,0
231,474.08,49.71,4.42,2,5,6,0.9,1
232,365.98,127.75,0.76,2,3,7,0.42,1
233,393.45,109.82,0.67,3,1,6,0.49,1
234,362.23,92.77,-0.33,4,4,9,0.39,1
235,252.24,73.06,3.08,2,3,3,0.76,1
236,447.31,135.26,1.53,2,2,3,0.94,1
237,283.89,77.09,4.25,1,2,3,0.48,0
238,189.0,127.99,2.1,3,3,10,0.62,1
239,418.82,82.7,4.83,2,1,3,0.73,1
240,245.53,75.23,0.52,3,2,9,0.98,1
241,527.97,85.52,4.28,2,5,4,0.37,0
242,532.95,66.17,3.77,4,6,7,0.64,1
243,518.5,119.71,3.74,4,7,9,0.56,1
244,316.96,90.33,4.15,2,3,11,0.89,1
245,185.72,57.87,3.69,4,3,7,0.62,1
246,523.48,137.95,2.94,2,2,9,0.38,1
247,338.43,76.07,0.22,4,1,3,0.73,1
248,537.66,95.23,-0.32,1,5,4,0.82,1
249,536.54,138.78,4.56,1,1,8,0.3,0
250,495.61,104.91,2.89,1,4,6,0.88,1
251,288.95,44.03,3.88,3,4,5,0.43,0
252,322.49,142.78,2.15,3,6,4,0.68,1
253,494.92,105.32,0.15,1,2,8,0.58,1
254,297.26,70.19,0.19,3,2,1,0.79,1
255,242.71,46.71,3.27,4,2,9,0.55,0
256,386.02,125.28,1.87,2,6,1,0.89,1
257,526.38,104.41,0.6,2,4,8,0.8,1
258,437.53,94.02,2.2,2,1,4,0.74,1
259,390.92,137.27,-0.15,1,6,9,0.84,1
260,215.96,124.63,2.7,3,6,11,0.81,1
261,407.55,48.2,0.98,4,1,5,0.32,0
262,546.32,67.41,3.89,4,2,3,0.57,0
263,231.83,59.82,1.21,1,5,9,0.93,1
264,371.78,119.27,2.0,4,1,11,0.39,1
265,504.63,34.02,-0.44,4,4,9,0.8,1
266,454.08,98.39,-0.1,4,3,4,0.96,1
267,437.9,121.5,1.66,4,3,11,0.34,1
268,439.92,135.21,2.14,3,7,4,0.76,1
269,313.01,71.05,2.8,4,7,8,0.62,1
270,288.63,128.55,1.1,2,6,2,0.69,1
271,479.46,43.28,3.32,1,3,9,0.36,0
272,479.74,131.57,4.23,3,5,6,0.33,0
273,500.82,45.3,3.79,4,2,9,0.75,1
274,517.9,77.67,-0.28,3,4,8,0.86,1
275,369.2,125.68,2.14,4,7,7,0.83,1
276,365.56,47.99,0.08,2,5,1,0.67,1
277,475.37,57.51,0.83,1,4,3,0.37,0
278,420.49,116.67,4.93,4,4,11,0.77,1
279,439.73,116.4,0.28,4,2,2,0.46,1
280,474.44,106.94,2.24,4,6,5,0.92,1
281,509.3,113.27,2.9,4,3,5,0.87,1
282,305.06,95.13,3.36,1,2,5,0.78,1
283,318.97,60.22,2.58,1,5,4,0.95,1
284,214.77,71.48,-0.45,2,6,5,0.32,0
285,393.96,51.79,1.3,1,5,3,0.8,1
286,193.3,139.01,2.35,4,6,1,0.52,1
287,352.27,100.01,-0.02,2,7,5,0.92,1
288,380.78,78.1,1.43,2,5,9,0.48,1
289,286.02,85.44,-0.32,2,2,9,0.79,1
290,398.61,143.67,-0.07,4,6,4,0.9,1
291,191.29,48.4,1.68,3,6,3,0.33,0
292,193.82,100.35,0.23,4,4,1,0.57,1
293,484.36,90.71,2.62,1,4,2,0.82,1
294,313.27,103.37,3.29,1,1,8,0.61,1
295,227.01,32.17,3.9,4,5,1,0.48,0
296,373.23,134.65,0.6,4,4,8,0.45,1
297,464.9,141.85,0.42,2,1,7,0.39,1
298,259.85,97.82,0.08,4,7,8,0.88,1
299,410.47,113.6,3.0,2,7,6,0.69,1
300,211.58,140.7,3.39,1,4,9,0.35,0
301,199.12,114.87,-0.33,2,5,3,0.56,1
302,376.6,48.3,4.65,4,6,10,0.55,0
303,380.03,99.15,-0.21,1,3,4,0.42,1
304,415.85,102.81,2.48,3,5,6,0.6,1
305,448.65,80.9,3.4,2,2,8,0.53,0
306,541.07,118.37,4.29,1,7,5,0.53,1
307,371.03,142.12,3.43,2,4,3,0.8,1
308,299.49,141.07,3.91,1,4,6,0.45,1
309,474.22,84.1,1.37,1,6,4,0.74,1
310,280.21,43.59,3.98,2,2,9,0.69,1
311,342.42,148.18,-0.06,3,6,3,0.69,1
312,209.03,130.67,4.42,1,2,4,0.75,1
313,189.38,44.96,2.51,1,3,7,0.67,1
314,536.18,140.5,4.0,1,7,7,0.9,1
315,489.31,134.39,1.99,3,4,4,0.76,1
316,437.51,92.26,3.04,3,4,6,0.67,1
317,331.31,100.95,2.4,4,3,3,0.86,1
318,244.12,77.88,3.52,2,1,6,0.71,1
319,237.88,36.57,-0.05,3,7,2,0.5,1
320,272.59,70.22,-0.17,2,6,8,0.44,1
321,383.21,126.34,0.86,4,3,2,0.4,1
322,444.4,30.56,0.38,2,6,11,0.91,1
323,424.27,70.02,4.29,3,5,7,0.78,1
324,283.58,77.78,0.71,2,4,9,0.94,1
325,533.3,94.49,4.87,3,6,1,0.71,1
326,453.02,140.38,1.35,2,2,8,0.62,1
327,385.11,71.56,0.5,3,6,7,0.34,0
328,406.34,71.63,3.84,3,5,6,0.76,1
329,335.25,118.5,3.12,2,7,6,0.7,1
330,271.66,84.27,2.24,4,4,6,0.97,1
331,311.71,56.95,2.55,1,3,9,0.46,0
332,460.4,84.29,3.46,4,5,2,0.66,1
333,185.33,46.9,0.76,2,4,1,0.74,1
334,222.95,51.17,4.98,4,6,6,0.74,1
335,197.02,89.8,4.86,3,7,10,0.68,1
336,195.07,80.27,3.08,1,1,11,0.83,1
337,496.52,139.78,0.6,2,7,8,0.44,1
338,440.35,73.49,3.24,2,1,3,0.79,1
339,355.44,99.67,-0.1,2,2,10,0.72,1
340,216.2,105.87,-0.33,1,7,1,0.91,1
341,361.9,31.57,0.92,3,4,9,0.88,1
342,355.18,109.62,2.04,2,1,1,0.51,1
343,244.08,51.36,4.28,4,3,3,0.49,0
344,340.53,145.33,3.5,2,4,8,0.97,1
345,327.45,47.84,3.58,2,3,3,0.66,1
346,407.86,79.75,1.84,2,7,4,0.92,1
347,414.98,40.24,1.4,2,3,8,0.41,0
348,196.76,149.62,1.54,3,1,1,0.74,1
349,318.61,90.26,4.93,4,4,6,0.85,1
350,411.57,101.45,-0.28,3,6,1,0.94,1
351,366.16,38.05,4.27,4,5,1,0.53,0
352,496.9,120.0,2.68,2,1,8,0.79,1
353,423.72,55.19,1.91,1,1,11,0.67,1
354,240.29,137.77,3.49,3,6,4,0.34,0
355,206.11,54.62,2.18,1,4,1,0.77,1
356,417.7,52.88,4.3,3,4,10,0.77,1
357,189.81,34.39,4.45,2,7,7,0.93,1
358,396.74,86.65,1.82,3,3,5,0.64,1
359,527.89,97.78,1.02,2,7,5,0.46,1
360,392.93,37.89,2.76,3,6,1,0.33,0
361,323.62,123.06,4.52,2,7,10,0.58,1
362,418.02,84.39,0.66,2,6,11,0.51,1
363,349.55,92.93,2.93,4,4,6,0.82,1
364,381.88,82.89,2.97,2,3,9,0.54,1
365,528.34,78.09,3.53,4,7,9,0.95,1
366,322.86,97.16,0.22,2,1,8,0.95,1
367,535.64,48.63,3.44,1,2,5,0.72,1
368,514.98,51.83,4.5,2,5,1,0.93,1
369,252.44,133.41,0.49,1,1,9,0.82,1
370,205.66,143.53,0.81,1,4,1,0.67,1
371,217.29,74.8,4.84,2,5,8,0.42,0
372,186.74,62.49,0.5,1,2,5,0.61,1
373,214.94,107.28,4.2,4,2,3,0.68,1
374,432.71,79.05,2.21,3,3,11,0.89,1
375,206.34,33.05,0.86,2,5,7,0.63,1
376,298.02,48.74,4.29,1,3,7,0.91,1
377,492.6,115.92,1.95,2,1,9,0.76,1
378,188.61,109.07,2.33,4,6,7,0.39,1
379,481.35,33.25,1.48,2,6,11,0.98,1
380,284.29,56.64,2.76,2,6,3,0.66,1
381,223.72,57.73,0.4,1,5,11,0.57,1
382,437.79,110.63,1.65,4,6,1,0.75,1
383,412.71,32.37,4.83,3,1,8,0.37,0
384,504.66,42.49,0.92,3,3,3,0.73,1
385,451.98,125.99,3.11,1,5,8,0.64,1
386,477.29,51.43,1.29,2,3,8,0.58,1
387,284.35,108.33,3.75,1,5,5,0.95,1
388,245.65,58.58,0.22,1,3,1,0.66,1
389,457.73,41.93,4.83,1,2,10,0.45,0
390,478.53,59.18,2.0,2,3,7,0.61,1
391,546.49,116.67,0.8,4,6,10,0.93,1
392,332.67,132.68,-0.1,1,2,5,0.42,1
393,317.65,129.63,0.43,2,3,8,0.45,1
394,467.27,77.66,2.36,4,5,9,0.31,0
395,306.1,110.17,1.35,1,5,11,0.31,0
396,524.38,54.6,4.06,3,5,7,0.86,1
397,497.61,65.18,1.87,4,4,7,0.8,1
398,338.73,137.56,0.87,1,1,1,0.54,1
399,457.82,31.56,2.89,4,5,4,0.77,1
400,459.18,40.26,3.39,4,2,2,0.57,0
401,218.16,54.95,0.42,4,5,2,0.95,1
402,513.94,33.18,0.42,4,4,2,0.96,1
403,366.94,51.77,-0.3,4,6,4,0.57,1
404,485.79,99.96,3.55,4,2,1,0.88,1
405,298.42,80.57,3.15,1,4,4,0.83,1
406,511.34,137.12,2.11,3,6,2,0.51,1
407,324.0,128.09,4.14,2,7,5,0.46,1
408,184.01,71.02,3.93,4,7,3,0.61,1
409,514.99,61.13,2.72,2,2,8,0.83,1
410,213.78,75.56,4.28,1,3,4,0.95,1
411,298.15,100.84,0.63,4,1,1,0.82,1
412,531.52,62.17,0.12,3,1,1,0.88,1
413,531.72,104.9,0.98,2,4,10,0.71,1
414,392.17,79.13,-0.19,4,6,3,0.87,1
415,413.78,96.25,2.42,1,1,9,0.83,1
416,345.92,82.34,4.65,3,6,7,0.56,0
417,288.49,65.34,-0.28,2,6,2,0.68,1
418,301.61,143.81,0.17,2,4,9,0.85,1
419,428.83,121.63,1.99,4,4,10,0.33,0
420,458.38,46.81,4.64,3,4,2,0.85,1
421,472.88,134.22,1.24,3,1,3,0.42,1
422,472.16,88.49,2.29,3,7,11,0.65,1
423,213.75,137.35,-0.27,3,4,10,0.85,1
424,362.94,125.98,0.32,1,1,2,0.47,1
425,201.3,81.03,4.93,3,4,3,0.47,0
426,383.33,32.7,4.81,2,5,6,0.57,0
427,343.37,62.24,-0.47,2,6,9,0.91,1
428,508.45,95.0,4.73,1,4,9,0.3,0
429,309.84,106.02,3.02,2,2,7,0.91,1
430,223.31,60.95,4.27,2,6,3,0.4,0
431,232.91,46.72,2.0,3,6,4,0.97,1
432,461.76,130.19,2.34,2,4,6,0.95,1
433,408.74,148.13,2.19,1,7,11,0.64,1
434,217.42,93.08,3.17,3,3,5,0.65,1
435,211.12,50.6,0.27,4,7,2,0.63,1
436,439.36,62.68,-0.34,3,4,6,0.73,1
437,206.92,32.21,1.19,1,6,3,0.36,0
438,484.09,139.72,3.38,3,2,8,0.32,0
439,441.31,44.13,0.61,3,6,2,0.34,0
440,210.1,99.18,3.2,1,7,1,0.6,1
441,211.39,62.89,4.83,3,2,9,0.49,0
442,545.06,96.5,0.02,1,1,3,0.72,1
443,318.48,108.17,3.2,1,5,11,0.97,1
444,317.14,129.57,1.94,4,6,1,0.56,1
445,480.74,54.77,4.27,2,4,7,0.69,1
446,530.48,31.32,0.47,2,1,10,0.58,1
447,544.82,46.43,3.31,3,5,5,0.88,1
448,458.75,138.0,4.11,3,4,5,0.91,1
449,319.22,134.87,4.7,4,3,1,0.9,1
450,210.9,101.69,3.26,4,4,9,0.96,1
451,467.54,102.06,2.23,4,2,7,0.32,0
452,386.61,109.8,2.9,1,2,8,0.87,1
453,336.96,51.04,4.28,4,3,9,0.81,1
454,515.35,139.73,2.64,4,1,6,0.46,1
455,221.14,80.25,-0.33,3,5,5,0.95,1
456,362.27,75.98,4.62,4,4,6,0.4,0
457,184.2,92.27,3.29,1,2,11,0.76,1
458,353.4,35.64,3.22,1,1,2,0.45,0
459,200.83,49.95,0.69,3,3,4,0.59,1
460,223.96,118.56,3.12,4,7,3,0.79,1
461,223.48,39.94,1.67,4,6,7,0.68,1
462,420.21,102.38,3.08,1,7,9,0.59,1
463,456.04,59.44,0.09,4,7,5,0.52,1
464,395.85,76.72,3.12,4,2,6,0.87,1
465,536.0,64.64,5.0,4,3,10,0.4,0
466,318.7,72.68,-0.23,2,4,2,0.59,1
467,285.71,116.29,4.87,3,7,3,0.91,1
468,501.38,65.65,1.74,2,7,3,0.88,1
469,262.73,97.97,4.29,3,5,9,0.57,1
470,536.39,87.13,3.8,1,2,7,0.82,1
471,184.5,109.64,2.62,4,2,8,0.86,1
472,538.86,142.42,3.56,3,4,11,0.9,1
473,195.97,117.91,4.33,2,6,10,0.67,1
474,509.72,55.79,1.72,4,1,11,0.44,0
475,375.25,33.74,1.3,1,5,9,0.47,0
476,547.4,61.47,3.17,3,2,6,0.5,0
477,207.3,101.41,3.94,3,5,4,0.7,1
478,384.93,36.17,3.69,3,2,1,0.32,0
479,538.64,89.56,3.89,4,5,8,0.73,1
480,373.55,101.62,1.9,2,3,7,0.55,1
481,412.88,70.11,4.0,2,7,2,0.5,0
482,437.43,122.51,0.16,3,2,8,0.9,1
483,348.18,42.79,2.49,1,5,5,0.61,1
484,412.2,39.02,-0.47,1,1,7,0.36,0
485,396.2,117.38,1.29,2,3,4,0.86,1
486,513.43,89.46,1.52,1,3,5,0.33,0
487,196.82,112.61,1.68,2,1,8,0.79,1
488,283.96,82.18,3.33,3,5,1,0.83,1
489,531.65,59.57,1.64,2,4,1,0.54,1
490,509.4,128.29,1.97,2,1,4,0.86,1
491,348.59,125.93,0.81,3,5,3,0.65,1
492,409.45,113.36,1.55,1,1,10,0.62,1
493,282.63,62.66,0.75,2,1,2,0.33,0
494,249.6,100.83,-0.1,2,2,3,0.5,1
495,351.57,73.32,2.82,3,5,11,0.93,1
496,310.74,40.99,3.18,1,4,11,0.57,0
497,395.95,140.08,2.91,2,7,11,0.67,1
498,208.76,46.42,2.05,3,2,1,0.66,1
499,540.53,144.03,1.59,2,1,1,0.7,1
500,544.9,83.52,4.25,4,7,6,0.34,0
